id,name,height,weight,base_experience,order,genus,generation,is_legendary,is_mythical,is_baby,color,shape,habitat,growth_rate,capture_rate,base_happiness,gender_rate,hatch_counter,has_gender_differences,forms_switchable,type_1,type_2,stat_hp,stat_attack,stat_defense,stat_special_attack,stat_special_defense,stat_speed,stat_total,ability_1,ability_2,ability_hidden,egg_group_1,egg_group_2,evolves_from,evolution_chain_id,total_moves,sprite_front_default,sprite_front_shiny,sprite_official_artwork,in_red,in_blue,in_yellow,in_gold,in_silver,in_crystal,in_ruby,in_sapphire,in_emerald,in_firered,in_leafgreen,in_diamond,in_pearl,in_platinum,in_heartgold,in_soulsilver,in_black,in_white,in_black2,in_white2,in_x,in_y,in_omega_ruby,in_alpha_sapphire,in_sun,in_moon,in_ultra_sun,in_ultra_moon,in_lets_go_pikachu,in_lets_go_eevee,in_sword,in_shield,in_brilliant_diamond,in_shining_pearl,in_legends_arceus,in_scarlet,in_violet,pokedex_entry
1,bulbasaur,7,69,64,1,Seed Pokémon,i,False,False,False,green,quadruped,grassland,medium-slow,45,70,1,20,False,False,grass,poison,45,49,49,65,65,45,318,overgrow,chlorophyll,chlorophyll,monster,plant,,1,86,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
2,ivysaur,10,130,142,2,Seed Pokémon,i,False,False,False,green,quadruped,grassland,medium-slow,45,70,1,20,False,False,grass,poison,60,62,63,80,80,60,405,overgrow,chlorophyll,chlorophyll,monster,plant,bulbasaur,1,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
3,venusaur,20,1000,236,3,Seed Pokémon,i,False,False,False,green,quadruped,grassland,medium-slow,45,70,1,20,True,True,grass,poison,80,82,83,100,100,80,525,overgrow,chlorophyll,chlorophyll,monster,plant,ivysaur,1,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
4,charmander,6,85,62,5,Lizard Pokémon,i,False,False,False,red,upright,mountain,medium-slow,45,70,1,20,False,False,fire,,39,52,43,60,50,65,309,blaze,solar-power,solar-power,monster,dragon,,2,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
5,charmeleon,11,190,142,6,Flame Pokémon,i,False,False,False,red,upright,mountain,medium-slow,45,70,1,20,False,False,fire,,58,64,58,80,65,80,405,blaze,solar-power,solar-power,monster,dragon,charmander,2,103,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
6,charizard,17,905,240,7,Flame Pokémon,i,False,False,False,red,upright,mountain,medium-slow,45,70,1,20,False,True,fire,flying,78,84,78,109,85,100,534,blaze,solar-power,solar-power,monster,dragon,charmeleon,2,131,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
7,squirtle,5,90,63,10,Tiny Turtle Pokémon,i,False,False,False,blue,upright,waters-edge,medium-slow,45,70,1,20,False,False,water,,44,48,65,50,64,43,314,torrent,rain-dish,rain-dish,monster,water1,,3,106,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
8,wartortle,10,225,142,11,Turtle Pokémon,i,False,False,False,blue,upright,waters-edge,medium-slow,45,70,1,20,False,False,water,,59,63,80,65,80,58,405,torrent,rain-dish,rain-dish,monster,water1,squirtle,3,101,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
9,blastoise,16,855,239,12,Shellfish Pokémon,i,False,False,False,blue,upright,waters-edge,medium-slow,45,70,1,20,False,True,water,,79,83,100,85,105,78,530,torrent,rain-dish,rain-dish,monster,water1,wartortle,3,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.
10,caterpie,3,29,39,14,Worm Pokémon,i,False,False,False,green,armor,forest,medium,255,70,4,15,False,False,bug,,45,30,35,20,20,45,195,shield-dust,run-away,run-away,bug,,,4,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
